filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/test_canCompile.os,gpt-4o-end2000,1C,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,gpt-4o-end2000,The,1C Enterprise
/samples/2-Dimensional Array/tailmodel.2da,gpt-4o-end2000,Python,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,gpt-4o-end2000,The,2-Dimensional Array
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,gpt-4o-end2000,ABAP,ABAP CDS
/samples/AGS Script/KeyboardMovement_102.asc,gpt-4o-end2000,C++,AGS Script
/samples/AGS Script/GlobalScript.ash,gpt-4o-end2000,C,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,gpt-4o-end2000,UnrealScript,AGS Script
/samples/AGS Script/GlobalScript.asc,gpt-4o-end2000,AGS,AGS Script
/samples/AIDL/IVoid.aidl,gpt-4o-mid2000,Java,AIDL
/samples/API Blueprint/actions.apib,gpt-4o-end2000,API,API Blueprint
/samples/APL/UT.dyalog,gpt-4o-mid2000,The,APL
/samples/ASL/example.asl,gpt-4o-end2000,ACPI,ASL
/samples/ASN.1/example.asn,gpt-4o-end2000,ASN,ASN.1
/samples/ASP.NET/OpenAuthProviders.ascx,gpt-4o-end2000,C#,ASP.NET
/samples/ASP.NET/Login.aspx,gpt-4o-end2000,ASP,ASP.NET
/samples/ATS/DiningPhil2.dats,gpt-4o-beg2000,The,ATS
/samples/Adblock Filter List/test_rules.txt,gpt-4o-end2000,Adblock,Adblock Filter List
/samples/Adblock Filter List/test_rules.txt,gpt-4o-mid2000,AdGuard,Adblock Filter List
/samples/Adobe Font Metrics/OpenSansCondensed-Bold.afm,gpt-4o-end2000,The,Adobe Font Metrics
/samples/Adobe Font Metrics/lambda.afm,gpt-4o-end2000,FontMetrics,Adobe Font Metrics
/samples/Adobe Font Metrics/lambda.afm,gpt-4o-mid2000,FontForge,Adobe Font Metrics
/samples/Adobe Font Metrics/SpecialElite.afm,gpt-4o-end2000,AFM,Adobe Font Metrics
/samples/Alpine Abuild/filenames/APKBUILD,gpt-4o-end2000,Shell,Alpine Abuild
/samples/Altium Designer/Sample Altium Project.PrjPcb,gpt-4o-end2000,The,Altium Designer
/samples/Altium Designer/Sample Output Job.OutJob,gpt-4o-end2000,INI,Altium Designer
/samples/Altium Designer/Sample Schematic Sheet.SchDoc,gpt-4o-end2000,Skipping file due to encoding error: /samples/Altium Designer/Sample Schematic Sheet.SchDoc,Altium Designer
/samples/Ant Build System/filenames/ant.xml,gpt-4o-end2000,XML,Ant Build System
/samples/Antlers/kitchensink.antlers.php,gpt-4o-end2000,YAML,Antlers
/samples/Antlers/index.antlers.html,gpt-4o-end2000,HTML,Antlers
/samples/Antlers/kitchensink.antlers.html,gpt-4o-end2000,The,Antlers
/samples/ApacheConf/apache.vhost,gpt-4o-end2000,Apache,ApacheConf
/samples/Apex/LanguageUtils.cls,gpt-4o-end2000,Java,Apex
/samples/Apollo Guidance Computer/BURN_BABY_BURN--MASTER_IGNITION_ROUTINE.agc,gpt-4o-end2000,AGC,Apollo Guidance Computer
/samples/AspectJ/CacheAspect.aj,gpt-4o-end2000,Java,AspectJ
/samples/Assembly/macros.inc,gpt-4o-end2000,6502,Assembly
/samples/Avro IDL/user.avdl,gpt-4o-end2000,Thrift,Avro IDL
/samples/B4X/OAuth.bas.bas,gpt-4o-mid2000,B4A,B4X
/samples/B4X/RequestsManager.bas,gpt-4o-mid2000,The,B4X
/samples/BASIC/spacesc.bas,gpt-4o-beg2000,The,BASIC
/samples/BASIC/GPIOGW.BAS,gpt-4o-end2000,GWBASIC,BASIC
/samples/BQN/gameoflife.bqn,gpt-4o-end2000,APL,BQN
/samples/Beef/Program.bf,gpt-4o-end2000,D,Beef
/samples/Beef/ProfilePanel.bf,gpt-4o-end2000,C#,Beef
/samples/Berry/lcd_display.be,gpt-4o-end2000,Crystal,Berry
/samples/Berry/lcd_display.be,gpt-4o-mid2000,Ruby,Berry
/samples/Berry/berry_schema_validator.be,gpt-4o-end2000,The,Berry
/samples/Bicep/201-1vm-2nics-2subnets-1vnet.bicep,gpt-4o-end2000,Azure,Bicep
/samples/Bikeshed/example2.bs,gpt-4o-mid2000,LaTeX,Bikeshed
/samples/Bikeshed/example.bs,gpt-4o-mid2000,WebAssembly,Bikeshed
/samples/Bikeshed/example2.bs,gpt-4o-end2000,JSON,Bikeshed
/samples/Bikeshed/example.bs,gpt-4o-end2000,HTML,Bikeshed
/samples/BitBake/cmake.bbclass,gpt-4o-mid2000,CMake,BitBake
/samples/BitBake/cmake.bbclass,gpt-4o-end2000,Shell,BitBake
/samples/Blade/hello.blade,gpt-4o-end2000,HTML,Blade
/samples/BlitzBasic/HalfAndDouble.bb,gpt-4o-end2000,Blitz3D,BlitzBasic
/samples/BlitzBasic/LList.bb,gpt-4o-end2000,BlitzMax,BlitzBasic
/samples/Bluespec BH/TL.bs,gpt-4o-end2000,Haskell,Bluespec BH
/samples/Bluespec BH/CGetPut.bs,gpt-4o-end2000,Bluespec,Bluespec BH
/samples/Boogie/Bubble.bpl,gpt-4o-end2000,Dafny,Boogie
/samples/Brainfuck/helloworld.bf,gpt-4o-mid2000,C,Brainfuck
/samples/BrighterScript/Main.bs,gpt-4o-mid2000,Ballerina,BrighterScript
/samples/BrighterScript/Main.bs,gpt-4o-end2000,BrightScript,BrighterScript
/samples/C/exception.zep.h,gpt-4o-mid2000,Zephir,C
/samples/C/sgd_fast.c,gpt-4o-mid2000,Cython,C
/samples/C/ArrowLeft.h,gpt-4o-end2000,The,C
/samples/C/rfc_string.h,gpt-4o-end2000,C++,C
/samples/C/readline.cats,gpt-4o-end2000,ATS,C
/samples/C#/SimpleHttpServer.cs,gpt-4o-mid2000,JavaScript,C#
/samples/C++/cvsignore.re,gpt-4o-end2000,C,C++
/samples/C++/octave_changer.ino,gpt-4o-end2000,Arduino,C++
/samples/C++/wrapper_inner.cpp,gpt-4o-mid2000,Cython,C++
/samples/C++/grpc.pb.cc,gpt-4o-end2000,Protocol,C++
/samples/CAP CDS/user-service.cds,gpt-4o-mid2000,OData,CAP CDS
/samples/CAP CDS/cat-service.cds,gpt-4o-end2000,CDS,CAP CDS
/samples/CAP CDS/user-service.cds,gpt-4o-end2000,CDL,CAP CDS
/samples/CIL/guix-daemon.cil,gpt-4o-end2000,SELinux,CIL
/samples/CLIPS/demo.clp,gpt-4o-beg2000,Lisp,CLIPS
/samples/CSON/wercker-status.cson,gpt-4o-end2000,JSON,CSON
/samples/CSON/wercker-status.cson,gpt-4o-mid2000,JavaScript,CSON
/samples/CSON/ff-sfd.cson,gpt-4o-end2000,TextMate,CSON
/samples/CSON/config.cson,gpt-4o-end2000,YAML,CSON
/samples/CSV/cars.csv,gpt-4o-end2000,The,CSV
/samples/CUE/github-workflow.cue,gpt-4o-end2000,The,CUE
/samples/CWeb/mpmathdouble.w,gpt-4o-end2000,C,CWeb
/samples/Cabal Config/defaults.cabal,gpt-4o-end2000,Haskell,Cabal Config
/samples/Caddyfile/acmeserver.Caddyfile,gpt-4o-end2000,HCL,Caddyfile
/samples/Cairo/cust_struct_vect.cairo,gpt-4o-end2000,Rust,Cairo
/samples/Cairo Zero/casm.cairo,gpt-4o-end2000,Assembly,Cairo Zero
/samples/Cairo Zero/contract.cairo,gpt-4o-end2000,Cairo,Cairo Zero
/samples/CameLIGO/FA1.2.mligo,gpt-4o-end2000,OCaml,CameLIGO
/samples/Carbon/Shapes.carbon,gpt-4o-end2000,Zig,Carbon
/samples/Carbon/Shapes.carbon,gpt-4o-mid2000,The,Carbon
/samples/Chapel/hello.chpl,gpt-4o-end2000,Pascal,Chapel
/samples/Chapel/lulesh.chpl,gpt-4o-mid2000,C,Chapel
/samples/Charity/example.ch,gpt-4o-end2000,Erlang,Charity
/samples/Checksums/zero.sha2,gpt-4o-end2000,Python,Checksums
/samples/Checksums/single_hash.crc32,gpt-4o-mid2000,Assembly,Checksums
/samples/Checksums/single_hash.md2,gpt-4o-mid2000,I,Checksums
/samples/Checksums/single_hash.md4,gpt-4o-mid2000,It,Checksums
/samples/Checksums/single_hash.sha256,gpt-4o-mid2000,Unknown,Checksums
/samples/Checksums/zero.sha2,gpt-4o-mid2000,Brainfuck,Checksums
/samples/Checksums/single_hash.md5,gpt-4o-end2000,The,Checksums
/samples/Checksums/bsd-style.sha256,gpt-4o-mid2000,Shell,Checksums
/samples/Checksums/single_hash_dec.crc32,gpt-4o-mid2000,None,Checksums
/samples/Cirru/comma.cirru,gpt-4o-end2000,Python,Cirru
/samples/Cirru/unfolding.cirru,gpt-4o-end2000,Tcl,Cirru
/samples/Cirru/template.cirru,gpt-4o-end2000,Java,Cirru
/samples/Cirru/webpack.config.cirru,gpt-4o-end2000,JavaScript,Cirru
/samples/Cirru/folding.cirru,gpt-4o-beg2000,R,Cirru
/samples/Cirru/unfolding.cirru,gpt-4o-mid2000,J,Cirru
/samples/Cirru/template.cirru,gpt-4o-mid2000,CSS,Cirru
/samples/Cirru/line.cirru,gpt-4o-end2000,The,Cirru
/samples/Cirru/calcit.cirru,gpt-4o-end2000,Clojure,Cirru
/samples/Cirru/webpack.config.cirru,gpt-4o-mid2000,CirruScript,Cirru
/samples/Cirru/folding.cirru,gpt-4o-mid2000,TeX,Cirru
/samples/Cirru/indent.cirru,gpt-4o-end2000,Haskell,Cirru
/samples/Cirru/html.cirru,gpt-4o-end2000,Haml,Cirru
/samples/Cirru/spaces.cirru,gpt-4o-mid2000,Prolog,Cirru
/samples/Cirru/demo.cirru,gpt-4o-end2000,Racket,Cirru
/samples/Clarion/HelloWorld.clw,gpt-4o-mid2000,MUMPS,Clarion
/samples/Clarion/HelloWorld.clw,gpt-4o-end2000,LabVIEW,Clarion
/samples/Classic ASP/ASPUnitRunner.asp,gpt-4o-end2000,VBScript,Classic ASP
/samples/Classic ASP/sendingcontent-xml.asp,gpt-4o-end2000,ASP,Classic ASP
/samples/Clean/sem.icl,gpt-4o-end2000,Haskell,Clean
/samples/Clean/sem.icl,gpt-4o-mid2000,The,Clean
/samples/Closure Templates/example.soy,gpt-4o-end2000,Soy,Closure Templates
/samples/Cloud Firestore Security Rules/filenames/firestore.rules,gpt-4o-mid2000,Firebase,Cloud Firestore Security Rules
/samples/Cloud Firestore Security Rules/filenames/firestore.rules,gpt-4o-end2000,Common,Cloud Firestore Security Rules
/samples/CoNLL-U/CF1.conllu,gpt-4o-end2000,CoNLL,CoNLL-U
/samples/CoNLL-U/en-ud-test-abridged.conllu,gpt-4o-end2000,The,CoNLL-U
/samples/CodeQL/qll-sample2.qll,gpt-4o-mid2000,Python,CodeQL
/samples/CodeQL/ql-sample.ql,gpt-4o-end2000,QL,CodeQL
/samples/CoffeeScript/hello.coffee,gpt-4o-end2000,JavaScript,CoffeeScript
/samples/ColdFusion CFC/exampleTag.cfc,gpt-4o-end2000,ColdFusion,ColdFusion CFC
/samples/ColdFusion CFC/exampleScript.cfc,gpt-4o-mid2000,CFML,ColdFusion CFC
/samples/Common Lisp/config.sexp,gpt-4o-end2000,Lisp,Common Lisp
/samples/Common Lisp/rss.sexp,gpt-4o-beg2000,RDF,Common Lisp
/samples/Common Lisp/hello.lisp,gpt-4o-end2000,Common,Common Lisp
/samples/Common Workflow Language/trunk-peak-score.cwl,gpt-4o-end2000,CWL,Common Workflow Language
/samples/Component Pascal/Example.cp,gpt-4o-end2000,Oberon,Component Pascal
/samples/Coq/JsInterpreterExtraction.v,gpt-4o-mid2000,OCaml,Coq
/samples/Creole/creole.creole,gpt-4o-end2000,Ruby,Creole
/samples/Csound Document/allglass.csd,gpt-4o-end2000,Csound,Csound Document
/samples/Csound Score/test.sco,gpt-4o-beg2000,Lisp,Csound Score
/samples/Csound Score/allglass.sco,gpt-4o-mid2000,G,Csound Score
/samples/Csound Score/test.sco,gpt-4o-mid2000,Assembly,Csound Score
/samples/Csound Score/allglass.sco,gpt-4o-end2000,MATLAB,Csound Score
/samples/Csound Score/interp.sco,gpt-4o-end2000,Brainfuck,Csound Score
/samples/Csound Score/test.sco,gpt-4o-end2000,Max,Csound Score
/samples/Cuda/vectorAdd.cu,gpt-4o-end2000,C++,Cuda
/samples/Cue Sheet/sample2.cue,gpt-4o-end2000,CUE,Cue Sheet
/samples/Cue Sheet/sample1.cue,gpt-4o-end2000,None,Cue Sheet
/samples/Curry/Nat.curry,gpt-4o-end2000,Haskell,Curry
/samples/Cycript/utils.cy,gpt-4o-end2000,JavaScript,Cycript
/samples/Cylc/model.cylc,gpt-4o-end2000,The,Cylc
/samples/Cylc/cset-include.cylc,gpt-4o-end2000,Jinja,Cylc
/samples/Cylc/cset.cylc,gpt-4o-end2000,Jinja2,Cylc
/samples/D/unittest1.d,gpt-4o-beg2000,Python,D
/samples/D/function.d,gpt-4o-end2000,C++,D
/samples/D/unittest2.d,gpt-4o-mid2000,Chapel,D
/samples/D/unittest1.d,gpt-4o-end2000,The,D
/samples/D2/calc_algo.d2,gpt-4o-end2000,The,D2
/samples/D2/calc_algo.d2,gpt-4o-mid2000,SQL,D2
/samples/D2/anthias-diagram-overview.d2,gpt-4o-end2000,Mermaid,D2
/samples/DIGITAL Command Language/ghostpdl_zlib_make_vms.com,gpt-4o-mid2000,The,DIGITAL Command Language
/samples/DIGITAL Command Language/ghostpdl_zlib_make_vms.com,gpt-4o-end2000,DCL,DIGITAL Command Language
/samples/DM/example.dm,gpt-4o-end2000,BYOND,DM
/samples/DNS Zone/sample.arpa,gpt-4o-end2000,DNS,DNS Zone
/samples/DTrace/probes.d,gpt-4o-end2000,SystemTap,DTrace
