filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,starcoder2-3B-2000end,C++,1C Enterprise
/samples/1C Enterprise/Catalog.Товары.Command.ПечатьПрайсЛиста.CommandModule.bsl,starcoder2-3B-2000mid,Python,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,starcoder2-3B-2000mid,OScript,1C Enterprise
/samples/2-Dimensional Array/appearance.2da,starcoder2-3B-2000mid,Python,2-Dimensional Array
/samples/4D/webArea.4dm,starcoder2-3B-2000mid,JavaScript,4D
/samples/4D/play_with_classes.4dm,starcoder2-3B-2000mid,C++,4D
/samples/4D/generate_project.4dm,starcoder2-3B-2000mid,Python,4D
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,starcoder2-3B-2000mid,AbapCatalog,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,starcoder2-3B-2000mid,Abap,ABAP CDS
/samples/ABNF/toml.abnf,starcoder2-3B-2000mid,Python,ABNF
/samples/AGS Script/GlobalScript.ash,starcoder2-3B-2000mid,Python,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,starcoder2-3B-2000mid,C++,AGS Script
/samples/AIDL/IVoid.aidl,starcoder2-3B-2000mid,C++,AIDL
/samples/AIDL/ExtendableParcelable.aidl,starcoder2-3B-2000mid,Java,AIDL
/samples/AL/ALIssueList.al,starcoder2-3B-2000mid,Python,AL
/samples/AL/RefreshALIssuesCode.al,starcoder2-3B-2000mid,C++,AL
/samples/AMPL/CT2.mod,starcoder2-3B-2000mid,Python,AMPL
/samples/API Blueprint/actions.apib,starcoder2-3B-2000mid,Python,API Blueprint
/samples/APL/UT.dyalog,starcoder2-3B-2000mid,Python,APL
/samples/ASL/example.asl,starcoder2-3B-2000mid,C++,ASL
/samples/ASL/example.dsl,starcoder2-3B-2000mid,n,ASL
/samples/ASN.1/example.asn,starcoder2-3B-2000mid,Python,ASN.1
/samples/ASP.NET/Login.aspx,starcoder2-3B-2000beg,Page,ASP.NET
/samples/ASP.NET/Global.asax,starcoder2-3B-2000beg,﻿<%,ASP.NET
/samples/ASP.NET/OpenAuthProviders.ascx,starcoder2-3B-2000mid,C#,ASP.NET
/samples/ASP.NET/Global.asax,starcoder2-3B-2000mid,HTTP,ASP.NET
/samples/ASP.NET/Login.aspx,starcoder2-3B-2000mid,Python,ASP.NET
/samples/ASP.NET/EchoSocket.ashx,starcoder2-3B-2000mid,n,ASP.NET
/samples/ATS/DiningPhil2.dats,starcoder2-3B-2000beg,Haxe,ATS
/samples/ATS/DiningPhil2_fork.dats,starcoder2-3B-2000mid,C++,ATS
/samples/ATS/basis_ssntype.sats,starcoder2-3B-2000mid,Python,ATS
/samples/ActionScript/TextFieldUtil.as,starcoder2-3B-2000mid,Languages,ActionScript
/samples/ActionScript/NumberUtil.as,starcoder2-3B-2000mid,C++,ActionScript
/samples/ActionScript/TextFieldUtil.as,starcoder2-3B-2000beg,Python,ActionScript
/samples/Adblock Filter List/anti-facebook.txt,starcoder2-3B-2000beg,Adblock,Adblock Filter List
/samples/Adblock Filter List/anti-facebook.txt,starcoder2-3B-2000mid,JavaScript,Adblock Filter List
/samples/Adblock Filter List/fake-news.txt,starcoder2-3B-2000mid,Python,Adblock Filter List
/samples/Adobe Font Metrics/lambda.afm,starcoder2-3B-2000mid,Python,Adobe Font Metrics
/samples/Adobe Font Metrics/OpenSansCondensed-Bold.afm,starcoder2-3B-2000mid,FontForge,Adobe Font Metrics
/samples/Agda/NatCat.agda,starcoder2-3B-2000mid,Haskell,Agda
/samples/Alloy/views.als,starcoder2-3B-2000beg,Java,Alloy
/samples/Alloy/file_system.als,starcoder2-3B-2000mid,C++,Alloy
/samples/Alloy/views.als,starcoder2-3B-2000mid,Python,Alloy
/samples/Alpine Abuild/filenames/APKBUILD,starcoder2-3B-2000mid,Python,Alpine Abuild
/samples/Altium Designer/Sample Schematic Sheet.SchDoc,starcoder2-3B-2000beg,Skipping file due to encoding error: /samples/Altium Designer/Sample Schematic Sheet.SchDoc,Altium Designer
/samples/Altium Designer/Sample Output Job.OutJob,starcoder2-3B-2000mid,OutputJobFile,Altium Designer
/samples/Altium Designer/Sample Altium Project.PrjPcb,starcoder2-3B-2000mid,Python,Altium Designer
/samples/AngelScript/botmanager.as,starcoder2-3B-2000mid,C++,AngelScript
/samples/AngelScript/payload.as,starcoder2-3B-2000mid,Python,AngelScript
/samples/Ant Build System/filenames/ant.xml,starcoder2-3B-2000mid,Python,Ant Build System
/samples/Antlers/layout.antlers.html,starcoder2-3B-2000mid,Python,Antlers
/samples/Antlers/kitchensink.antlers.html,starcoder2-3B-2000mid,nPython,Antlers
/samples/Antlers/index.antlers.html,starcoder2-3B-2000mid,pre,Antlers
/samples/Antlers/sitemap.antlers.xml,starcoder2-3B-2000mid,xml,Antlers
/samples/ApacheConf/apache.vhost,starcoder2-3B-2000mid,Python,ApacheConf
/samples/ApacheConf/filenames/apache2.conf,starcoder2-3B-2000end,o,ApacheConf
/samples/ApacheConf/apache.vhost,starcoder2-3B-2000beg,"""""""",ApacheConf
/samples/Apex/AccountTrigger.trigger,starcoder2-3B-2000end,name,Apex
/samples/Apex/EmailUtils.cls,starcoder2-3B-2000mid,Java,Apex
/samples/Apex/TwilioAPI.cls,starcoder2-3B-2000end,n,Apex
/samples/Apex/AccountTrigger.trigger,starcoder2-3B-2000mid,Python,Apex
/samples/Apollo Guidance Computer/BURN_BABY_BURN--MASTER_IGNITION_ROUTINE.agc,starcoder2-3B-2000end,C++,Apollo Guidance Computer
/samples/Apollo Guidance Computer/BURN_BABY_BURN--MASTER_IGNITION_ROUTINE.agc,starcoder2-3B-2000mid,Python,Apollo Guidance Computer
/samples/AppleScript/Get User Name.applescript,starcoder2-3B-2000mid,Python,AppleScript
/samples/AppleScript/Convert To PDF.applescript,starcoder2-3B-2000beg,C++,AppleScript
/samples/AppleScript/Time Of Day.applescript,starcoder2-3B-2000beg,Objective,AppleScript
/samples/AppleScript/Convert To PDF.applescript,starcoder2-3B-2000mid,is,AppleScript
/samples/AsciiDoc/encoding.asciidoc,starcoder2-3B-2000mid,Ruby,AsciiDoc
/samples/AsciiDoc/sample.adoc,starcoder2-3B-2000mid,name,AsciiDoc
/samples/AsciiDoc/list.asc,starcoder2-3B-2000mid,Python,AsciiDoc
/samples/AspectJ/CacheAspect.aj,starcoder2-3B-2000mid,Java,AspectJ
/samples/Assembly/fftfpu.nas,starcoder2-3B-2000mid,C++,Assembly
/samples/Assembly/cpu_feat.nas,starcoder2-3B-2000mid,C,Assembly
/samples/Assembly/forth.nasm,starcoder2-3B-2000end,Forth,Assembly
/samples/Assembly/forth.nasm,starcoder2-3B-2000mid,Python,Assembly
/samples/Assembly/lib.inc,starcoder2-3B-2000mid,n,Assembly
/samples/Astro/index.astro,starcoder2-3B-2000mid,---,Astro
/samples/Asymptote/kappa-sawteeth.asy,starcoder2-3B-2000mid,Python,Asymptote
/samples/AutoHotkey/hello.ahk,starcoder2-3B-2000mid,Python,AutoHotkey
/samples/Avro IDL/user.avdl,starcoder2-3B-2000mid,Python,Avro IDL
