filename,tool_configuration,language,ground-truth
/samples/Logos/NoCarrier.x,starcoder2-3B-2000mid,C++,Logos
/samples/Logos/NCHax.x,starcoder2-3B-2000mid,Objective,Logos
/samples/Logos/string1.x,starcoder2-3B-2000mid,Python,Logos
/samples/Logos/Tweak.x,starcoder2-3B-2000mid,C++,Logos
/samples/Logos/example.xm,starcoder2-3B-2000mid,Objective,Logos
/samples/Object Data Instance Notation/openehr_ehr_1.0.3.bmm.odin,starcoder2-3B-2000mid,Python,Object Data Instance Notation
/samples/Assembly/fftfpu.nas,starcoder2-3B-2000mid,C++,Assembly
/samples/Assembly/cpu_feat.nas,starcoder2-3B-2000mid,C,Assembly
/samples/Assembly/External Interrupt.a51,starcoder2-3B-2000mid,C,Assembly
/samples/Assembly/FASM.asm,starcoder2-3B-2000mid,C++,Assembly
/samples/Assembly/forth.nasm,starcoder2-3B-2000mid,Python,Assembly
/samples/Assembly/fp_sqr32_160_comba.inc,starcoder2-3B-2000mid,C++,Assembly
/samples/Assembly/macros.inc,starcoder2-3B-2000mid,C++,Assembly
/samples/Assembly/audio.i,starcoder2-3B-2000mid,C++,Assembly
/samples/Assembly/lib.inc,starcoder2-3B-2000mid,n,Assembly
/samples/Assembly/3D_PRG.I,starcoder2-3B-2000mid,n,Assembly
/samples/Assembly/A8514.I,starcoder2-3B-2000mid,C++,Assembly
/samples/Git Revision List/filenames/.git-blame-ignore-revs,starcoder2-3B-2000mid,Python,Git Revision List
/samples/Turing/turing.t,starcoder2-3B-2000mid,Python,Turing
/samples/Turing/simplegame.t,starcoder2-3B-2000mid,Python,Turing
/samples/Turing/start.t,starcoder2-3B-2000mid,Python,Turing
/samples/Turing/BlockTower.t,starcoder2-3B-2000mid,Python,Turing
/samples/Oxygene/Loops.oxygene,starcoder2-3B-2000mid,Compile,Oxygene
/samples/Jasmin/if3.j,starcoder2-3B-2000mid,Java,Jasmin
/samples/Jasmin/op4.j,starcoder2-3B-2000mid,Java,Jasmin
/samples/Jasmin/op2.j,starcoder2-3B-2000mid,Java,Jasmin
/samples/Jasmin/if2.j,starcoder2-3B-2000mid,Java,Jasmin
/samples/Jasmin/if4.j,starcoder2-3B-2000mid,Java,Jasmin
/samples/Jasmin/op3.j,starcoder2-3B-2000mid,Java,Jasmin
/samples/Jasmin/op1.j,starcoder2-3B-2000mid,Java,Jasmin
/samples/Jasmin/if1.j,starcoder2-3B-2000mid,Java,Jasmin
/samples/RouterOS Script/config.rsc,starcoder2-3B-2000mid,Python,RouterOS Script
/samples/RouterOS Script/console-dump.rsc,starcoder2-3B-2000mid,Python,RouterOS Script
/samples/RouterOS Script/vlans.rsc,starcoder2-3B-2000mid,Python,RouterOS Script
/samples/RouterOS Script/BackupAndUpdate.rsc,starcoder2-3B-2000mid,Python,RouterOS Script
/samples/Brightscript/SimpleGrid.brs,starcoder2-3B-2000mid,Python,Brightscript
/samples/MATLAB/convert_variable.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/FTLE_reg.m,starcoder2-3B-2000mid,C++,MATLAB
/samples/MATLAB/example.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/load_data.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/write_gains.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/test_system_state_space.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/Traj.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/FTLEH.m,starcoder2-3B-2000mid,C++,MATLAB
/samples/MATLAB/normalize.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/lane_change.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/distance.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/cross_validation.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/test_rk_par.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/Check_plot.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/Poincare.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/Lagrangian_points.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/make_filter.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/average.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/fit_adapt.m,starcoder2-3B-2000mid,C++,MATLAB
/samples/MATLAB/varargin_to_structure.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/par_text_to_struct.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/Lagr.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/plant.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/RK4.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/fit_adapt_linear.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/load_bikes.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/create_ieee_paper_plots.m,starcoder2-3B-2000mid,C++,MATLAB
/samples/MATLAB/double_gyre.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/MATLAB/gpu_RKF45_FILE.m,starcoder2-3B-2000mid,Python,MATLAB
/samples/Nginx/filenames/nginx.conf,starcoder2-3B-2000mid,Python,Nginx
/samples/Nginx/example.com.vhost,starcoder2-3B-2000mid,Python,Nginx
/samples/Nginx/sample.nginx,starcoder2-3B-2000mid,Python,Nginx
/samples/RPM Spec/erlang-erlydtl.spec,starcoder2-3B-2000mid,Erlang,RPM Spec
