filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/Catalog.Товары.Command.ПечатьПрайсЛиста.CommandModule.bsl,llama-3-2-3b-instruct,UMLScript,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,qwen-2-5-7b-instruct,Delphi,1C Enterprise
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,qwen-2-5-7b-instruct,Visual,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,qwen-2-5-7b-instruct,VFP,1C Enterprise
/samples/1C Enterprise/CommonModule.ОбменМобильныеОбщее.Module.bsl,qwen-2-5-7b-instruct,1C,1C Enterprise
/samples/1C Enterprise/test_canCompile.os,qwen-2-5-7b-instruct,VBScript,1C Enterprise
/samples/1C Enterprise/test_canCompile.os,llama-3-2-3b-instruct,Based,1C Enterprise
/samples/1C Enterprise/Catalog.Товары.Command.ПечатьПрайсЛиста.CommandModule.bsl,codestral-2508,1,1C Enterprise
/samples/1C Enterprise/Catalog.Товары.Command.ПечатьПрайсЛиста.CommandModule.bsl,qwen-2-5-7b-instruct,The,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,claude-haiku-4-5,OneScript,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,llama-3-2-3b-instruct,XML,1C Enterprise
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,llama-3-2-3b-instruct,ActionScript,1C Enterprise
/samples/2-Dimensional Array/tailmodel.2da,deepseek-chat-v3-1,C++,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,gemini-2.5-pro,Mount,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,gemini-2.5-pro,Diablo,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,deepseek-chat-v3-1,LSL,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,meta-llama,No,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,meta-llama,None,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,llama-3-2-3b-instruct,Python,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,gpt-4o,Plain,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,claude-haiku-4-5,Data,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,qwen-2-5-7b-instruct,The,2-Dimensional Array
/samples/2-Dimensional Array/tailmodel.2da,claude-3-5,Text,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,claude-3-5,Game,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,qwen-2-5-7b-instruct,Based,2-Dimensional Array
/samples/2-Dimensional Array/appearance.2da,codestral-2508,Configuration,2-Dimensional Array
/samples/4D/webArea.4dm,qwen-2-5-7b-instruct,Custom,4D
/samples/4D/test_webServerStart.4dm,gpt-4o-mini,Coyote,4D
/samples/4D/webArea.4dm,gpt-4o-mini,Xbasic,4D
/samples/4D/generate_project.4dm,gpt-4o-mini,C#,4D
/samples/4D/generate_project.4dm,llama-3-2-3b-instruct,A,4D
/samples/4D/generate_project.4dm,qwen-2-5-7b-instruct,TypeScript,4D
/samples/4D/webArea.4dm,codestral-2508,Proprietary,4D
/samples/4D/play_with_classes.4dm,qwen-2-5-7b-instruct,C++,4D
/samples/4D/test_webServerStart.4dm,qwen-2-5-7b-instruct,C,4D
/samples/4D/play_with_classes.4dm,llama-3-2-3b-instruct,After,4D
/samples/4D/webArea.4dm,llama-3-2-3b-instruct,The,4D
/samples/4D/test_webServerStart.4dm,llama-3-2-3b-instruct,Scratch,4D
/samples/4D/generate_project.4dm,meta-llama,Modelica,4D
/samples/ABAP/cl_csv_parser.abap,llama-3-2-3b-instruct,The,ABAP
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,qwen-2-5-7b-instruct,ABAP,ABAP CDS
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,llama-3-2-3b-instruct,The,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,llama-3-2-3b-instruct,Based,ABAP CDS
/samples/ABNF/toml.abnf,qwen-2-5-7b-instruct,Scheme,ABNF
/samples/ABNF/toml.abnf,llama-3-2-3b-instruct,section,ABNF
/samples/ABNF/toml.abnf,gpt-4o-mini,Grammar,ABNF
/samples/AGS Script/GlobalScript.ash,qwen-2-5-7b-instruct,C,AGS Script
/samples/AGS Script/GlobalScript.ash,gemini-2.5-pro,ACS,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,gemini-2.5-pro,Adventure,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,qwen-2-5-7b-instruct,C++,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,gpt-4o,UnrealScript,AGS Script
/samples/AGS Script/GlobalScript.asc,qwen-2-5-7b-instruct,JavaScript,AGS Script
/samples/AGS Script/GlobalScript.asc,llama-3-2-3b-instruct,Pascal,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,llama-3-2-3b-instruct,Based,AGS Script
/samples/AGS Script/GlobalScript.ash,codestral-2508,Unknown,AGS Script
/samples/AGS Script/GlobalScript.asc,codestral-2508,Custom,AGS Script
/samples/AGS Script/KeyboardMovement_102.ash,claude-haiku-4-5,AngelScript,AGS Script
/samples/AGS Script/GlobalScript.asc,claude-haiku-4-5,AGS,AGS Script
/samples/AIDL/IVoid.aidl,qwen-2-5-7b-instruct,C++,AIDL
/samples/AIDL/ExtendableParcelable.aidl,llama-3-2-3b-instruct,The,AIDL
