filename,tool_configuration,language,ground-truth
/samples/1C Enterprise/CommonModule.ОбменМобильныеОбщее.Module.bsl,starcoder2-3b,Detect,1C Enterprise
/samples/1C Enterprise/Document.РасходТовара.ObjectModule.bsl,starcoder2-3b,ru,1C Enterprise
/samples/1C Enterprise/ci_before_script.os,starcoder2-3b,Python,1C Enterprise
/samples/1C Enterprise/Catalog.ИсходящиеПисьма.Form.ФормаЭлемента.Form.Module.bsl,starcoder2-3b,if,1C Enterprise
/samples/2-Dimensional Array/appearance.2da,starcoder2-3b,Python,2-Dimensional Array
/samples/4D/webArea.4dm,starcoder2-3b,Python,4D
/samples/4D/test_webServerStart.4dm,starcoder2-3b,C++,4D
/samples/4D/play_with_classes.4dm,starcoder2-3b,C1509,4D
/samples/ABAP CDS/zcds_monsters_association.ddls.asddls,starcoder2-3b,Abap,ABAP CDS
/samples/ABAP CDS/zcds_monsters_parameters.ddls.asddls,starcoder2-3b,ABAP,ABAP CDS
/samples/ABNF/toml.abnf,starcoder2-3b,Python,ABNF
/samples/AGS Script/GlobalScript.asc,starcoder2-3b,Python,AGS Script
/samples/AGS Script/KeyboardMovement_102.asc,starcoder2-3b,Detect,AGS Script
/samples/AIDL/IVoid.aidl,starcoder2-3b,Python,AIDL
/samples/AIDL/ExtendableParcelable.aidl,starcoder2-3b,C++,AIDL
/samples/AL/ALIssueList.al,starcoder2-3b,C#,AL
/samples/AL/RefreshALIssuesCode.al,starcoder2-3b,name,AL
/samples/AL/ALIssue.al,starcoder2-3b,C++,AL
/samples/AMPL/toy.ampl,starcoder2-3b,Python,AMPL
/samples/API Blueprint/attributes.apib,starcoder2-3b,+,API Blueprint
/samples/API Blueprint/actions.apib,starcoder2-3b,FORMAT,API Blueprint
/samples/API Blueprint/simple.apib,starcoder2-3b,Python,API Blueprint
/samples/APL/DeepakChopra.apl,starcoder2-3b,Python,APL
/samples/APL/UT.dyalog,starcoder2-3b,Detect,APL
/samples/ASL/example.asl,starcoder2-3b,C++,ASL
/samples/ASN.1/example.asn,starcoder2-3b,Python,ASN.1
/samples/ASP.NET/EchoSocket.ashx,starcoder2-3b,HTTP,ASP.NET
/samples/ASP.NET/Login.aspx,starcoder2-3b,Detect,ASP.NET
/samples/ASP.NET/Global.asax,starcoder2-3b,Languages,ASP.NET
/samples/ASP.NET/OpenAuthProviders.ascx,starcoder2-3b,Python,ASP.NET
/samples/ATS/DiningPhil2.sats,starcoder2-3b,Haxe,ATS
/samples/ATS/intinf_vt.dats,starcoder2-3b,C,ATS
/samples/ATS/DiningPhil2.dats,starcoder2-3b,Detect,ATS
/samples/ATS/DiningPhil2_fork.dats,starcoder2-3b,Hats,ATS
/samples/ATS/YonedaLemma.dats,starcoder2-3b,r,ATS
/samples/ATS/DiningPhil2_thread.dats,starcoder2-3b,C++,ATS
/samples/ATS/csv_parse.hats,starcoder2-3b,(*,ATS
/samples/ActionScript/TextFieldUtil.as,starcoder2-3b,Python,ActionScript
/samples/Adblock Filter List/test_rules.txt,starcoder2-3b,Detect,Adblock Filter List
/samples/Adblock Filter List/fake-news.txt,starcoder2-3b,Adblock,Adblock Filter List
/samples/Adobe Font Metrics/SpecialElite.afm,starcoder2-3b,English,Adobe Font Metrics
/samples/Adobe Font Metrics/OpenSansCondensed-Bold.afm,starcoder2-3b,Python,Adobe Font Metrics
/samples/Agda/NatCat.agda,starcoder2-3b,Haskell,Agda
/samples/Alloy/file_system.als,starcoder2-3b,C++,Alloy
/samples/Alloy/views.als,starcoder2-3b,Detect,Alloy
/samples/Alpine Abuild/filenames/APKBUILD,starcoder2-3b,Python,Alpine Abuild
